ID,ID_Orden,Item_ID,Item,Categoria,Listo,Observacion
ORD-003-I01,ORD-003,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-003-I02,ORD-003,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-003-I03,ORD-003,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-003-I04,ORD-003,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-003-I05,ORD-003,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-003-I06,ORD-003,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-003-I07,ORD-003,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-003-I08,ORD-003,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-003-I13,ORD-003,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-003-I14,ORD-003,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-003-I15,ORD-003,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-003-I16,ORD-003,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-003-I17,ORD-003,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-004-I01,ORD-004,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-004-I02,ORD-004,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-004-I03,ORD-004,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-004-I04,ORD-004,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-004-I05,ORD-004,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
